32         0.43      0.43     0.53     0.56
64         0.85      0.86     1.04     1.10
128        1.63      1.71     2.07     2.13
256        3.48      3.35     4.02     4.22
512        6.80      6.67     7.97     8.63
1024      13.32     13.31    15.72    15.94
2048      25.79     25.92    30.84    30.98
4096      50.37     50.48    58.79    59.69
8192      95.90     96.15   107.04   110.33
16384    145.80    145.43   143.97   174.70
32768    147.06    144.74   146.02   282.48
65536    145.25    143.99   141.62   406.40
131072   149.34    146.96   147.49   489.34
262144   156.35    149.81   152.21   536.37
524288   151.65    150.74   151.52   519.93
