32         0.35      0.45     0.79     1.02
64         0.56      0.80     1.41     1.54
128        1.11      1.52     3.03     3.12
256        2.20      2.16     5.44     5.58
512        4.17      4.18    10.96    11.46
1024       8.30      8.26    20.99    20.89
2048      16.82     16.31    39.76    39.73
4096      30.89     30.79    74.07    75.73
8192      53.74     54.49   124.24   148.91
16384     80.68     83.63   200.21   232.79
32768    132.27    132.52   260.81   357.07
65536    229.82    230.40   300.19   444.18
131072   332.60    329.78   331.51   492.28
262144   331.06    337.22   339.59   511.59
524288   335.58    328.50   331.56   504.56
