32         0.032     0.030    0.048    0.051
64         0.061     0.059    0.108    0.117
128        0.122     0.112    0.227    0.234
256        0.244     0.241    0.418    0.415
512        0.459     0.466    0.847    0.865
1024         0.927     0.919    1.657    1.641
2048         1.884     1.813    3.262    3.269
4096         3.378     3.326    6.044    6.195
8192         5.637     5.676   10.141   11.287
16384       8.250     8.402   15.976   16.736
32768     13.327    13.204   19.013   20.515
65536       21.241    21.341   20.973   21.879
131072      21.851    22.354   21.816   23.203
262144      21.408    21.693   21.846   24.088
524288      21.600    21.899   21.921   24.106
